Old Fashioned Chocolate Cake | 111 | 87 | 4.53999996185303 | 1 h 15 m | ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;  | ; ; ;  | Home; Recipes; Desserts; Chocolate
Divinity | 117 | 84 | 4.37234020233154 | 50 m | 2 cups white sugar; 1/2 cup light corn syrup; 1/2 cup hot water; 1/4 teaspoon salt; 2 egg whites; 1 teaspoon vanilla extract | In a heavy, 2 quart saucepan, combine the sugar, corn syrup, hot water, and salt. Cook and stir until the sugar dissolves and the mixture comes to a boil. Then cook to hard ball stage without stirring, 250 degrees F (120 degrees C.) Frequently wipe crystals forming on the sides of the pan, using a pastry brush dipped in water. Remove from heat.; Just as the syrup is reaching temperature, begin whipping egg whites: In a large glass or stainless steel mixing bowl, beat egg whites until stiff peaks form. Pour hot syrup in a thin stream over beaten egg whites, beating constantly with the electric mixer at medium speed. Increase speed to high, and continue beating for about 5 minutes. Add vanilla; continue beating until the mixture becomes stiff and begins to lose its gloss. If it is too stiff, add a few drops hot water.; Immediately drop by teaspoonfuls onto waxed paper. For a decorative flair, twirl the top with the spoon when dropping. Let stand until set. Store in an airtight container at room temperature. | Home; Recipes; Desserts; Candy; Divinity
Amazing Apple Cake | 99 | 84 | 4.25531911849976 | 1 h 15 m | 1 1/4 cups white sugar; 2 cups all-purpose flour; 2 teaspoons ground cinnamon; 2 teaspoons baking soda; 2 eggs; 1/2 cup vegetable oil; 2 teaspoons vanilla extract; 1 cup chopped walnuts; 5 1/2 cups chopped apples | Preheat oven to 325 degrees F (165 degrees C).; In a medium bowl, stir together the sugar, flour, cinnamon, and baking soda. Add the eggs, oil and vanilla, mix well. Add the nuts and apple, mix until all of the apples are evenly coated. Pour into a 9x9 inch pan.; Bake for 45 to 50 minutes in the preheated oven. Serve warm or cool. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Christmas Stars | 119 | 78 | 4.38297891616821 | 4 h 45 m | 3/4 cup butter, softened; 1 cup white sugar; 2 egg; 1 teaspoon vanilla extract; 2 1/2 cups all-purpose flour; 1 teaspoon baking powder; 1/4 teaspoon salt; 6 tablespoons strawberry jam; 1/4 cup green decorator sugar (optional) | In a large bowl, cream butter and sugar until light and fluffy. Gradually add eggs and vanilla. Mix well. Sift together flour, baking powder, and salt. Stir flour mixture into the butter mixture until well blended. Divide dough in half and wrap in plastic. Refrigerate dough for three hours.; Preheat oven to 350 degrees F (175 degrees C). Grease two cookie sheets or line them with parchment paper.; On a floured surface, roll out half of the dough to 1/8 inch thickness. Cut dough into star shapes using a 3- to 4-inch star cookie cutter. Using a 1- to 2-inch star cookie cutter, cut a star into the center of half of the big stars. Place the full stars on one cookie sheet and the "tops"--the cookies with the center cutouts--on another. Sprinkle colored sugar on the star tops, if desired.; Bake in preheated oven until edges are golden brown, 6 to 8 minutes. Allow cookies to cool completely. (You can re-roll the mini stars cut out of the centers, or bake them separately for about 5 minutes.) Repeat with remaining cookie dough.; After cookies cool completely, spread 1 teaspoon of preserves in the center of each full star cookie. Place a cut-out cookie on top of the layer of preserves. Pack cookies between waxed paper in a covered tin to preserve freshness. | Home; Recipes; Desserts; Cookies; Sandwich Cookies
Gelatin Spritz Cookies | 99 | 84 | 4.14893627166748 | 30 m | 3 1/2 cups all-purpose flour; 1 1/2 cups butter; 1 (3 ounce) package fruit flavored Jell-O® mix; 1 teaspoon baking powder; 1 cup white sugar; 1 egg; 1 teaspoon vanilla extract | Cream butter, sugar and gelatin. Add egg and vanilla. Beat well. Gradually add flour and baking powder. Blend until smooth.; Refrigerate dough until firm. (If using a cookie press, no need to refrigerate dough before use.) Roll into balls and press with bottom of glass with sugar. (Use an ungreased cookie sheet). Bake at 400 degrees F (205 degrees C) for 7-10 minutes. | Home; Recipes; Desserts; Cookies; Butter Cookies; Spritz Cookies
Rosettes I | 192 | 75 | 4.77659559249878 | 1 h 45 m | 2 eggs; 1 tablespoon white sugar; 1 cup sifted all-purpose flour; 1 cup milk; 1 teaspoon vanilla extract; 1/4 teaspoon salt; vegetable oil for frying; sifted confectioners' sugar | Combine eggs, sugar and salt; beat well. Add remaining ingredients and beat until smooth.; Heat a rosette iron in deep, hot oil (375 degrees) for 2 minutes.; Drain excess oil from iron. Dip in batter to 1/4 inch from the top of the iron, then dip iron immediately into hot oil (375 degrees).; Fry rosette until golden, about 30 seconds. Lift out; tip upside down to drain. With fork, push rosette off iron onto a rack placed over paper towels.; Reheat iron 1 minute; make next rosette.; Sprinkle rosettes with confectioners' sugar. | Home; Recipes; World Cuisine; European; Scandinavian
Chocolate Covered Peppermint Patties | 114 | 80 | 4.3297872543335 | 8 h 50 m | 1 cup mashed potatoes; 1 teaspoon salt; 2 tablespoons melted butter; 2 teaspoons peppermint extract; 8 cups confectioners' sugar; 8 (1 ounce) squares semisweet chocolate; 2 tablespoons shortening | In a large bowl, mix together the potatoes, salt, butter, and peppermint extract. Gradually mix in confectioners' sugar; mix in enough to make a workable dough, between 6 and 8 cups.; Knead slightly, and roll into cherry-size balls. Flatten balls to form patties. Arrange on sheets of wax paper, and allow to dry overnight.; Place chocolate and shortening in a microwave-safe bowl. Heat in microwave, stirring occasionally, until melted and smooth. Dip patties in melted chocolate, and let cool on wax paper. | Home; Recipes; Desserts; Chocolate
Jelly Bean Nests | 132 | 79 | 4.57446813583374 | 30 m | 2 cups miniature marshmallows; 1/4 cup butter; 4 cups chow mein noodles | Butter a 12 cup muffin tin.; Combine marshmallows and butter over medium heat in a saucepan; stir until the butter and marshmallows have melted. Stir in the chow mein noodles, coat well. Butter fingers and press the mixture into the bottom and sides of the prepared muffin tin. Refrigerate until firm. | Home; Recipes; Pasta and Noodles; Noodles
Orange Crunch Cake | 86 | 81 | 4.68085098266602 | 1 h | 1 cup graham cracker crumbs; 1/2 cup brown sugar; 1/2 cup chopped walnuts; 1/2 cup butter, softened; 1 (18.25 ounce) package yellow cake mix; 1/2 cup water; 1/2 cup orange juice; 1/3 cup vegetable oil; 3 eggs; 2 tablespoons grated orange zest; 1 (16 ounce) can prepared vanilla frosting; 1 (8 ounce) container frozen whipped topping, thawed; 3 tablespoons grated orange zest; 1 teaspoon grated lemon zest; 1 (11 ounce) can mandarin oranges, drained | Preheat oven to 350 degrees F (175 degrees C). Grease and flour two 9 inch pans. Combine the graham cracker crumbs, brown sugar, walnuts and butter. Divide mixture evenly between the prepared pans. Set aside.; In a medium bowl, mix together the cake mix, water, orange juice and oil until blended. Beat in the eggs, one at a time, then stir in the orange zest. Pour the mixture evenly over the crunch layer in the pans.; Bake in the preheated oven for 30 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool for 10 minutes, then invert onto a wire rack and cool completely before frosting. Frost (crunch side up) between layers, on top and sides. Arrange orange sections on top, then refrigerate.; To make the frosting: In a medium bowl, beat the vanilla frosting until light and fluffy, then mix in the whipped topping. Stir in the orange and lemon zest. Use frosting on completely cooled cake layers. | Home; Recipes; Desserts; Fruit Desserts; Orange Desserts
Strawberry Pie V | 127 | 76 | 4.67368412017822 | 20 m | 2 1/2 cups water; 2 cups white sugar; 5 tablespoons cornstarch; 1 (3 ounce) package strawberry flavored Jell-O® mix; 2 quarts strawberries, hulled; 2 (9 inch) pie shells, baked | In a saucepan, combine water, sugar and cornstarch. Cook over medium high heat, stirring constantly, until mixture boils and thickens. Remove from heat and stir in the strawberry gelatin. Allow to cool slightly.; Arrange strawberries in the pie crusts with the tips pointing up. Pour gelatin mixture over, covering the berries. | Home; Recipes; Desserts; Pies; No-Bake Pies
German Cut-Out Cookies | 118 | 74 | 4.38297891616821 | 45 m | 1 cup butter, softened; 2 cups brown sugar; 2 eggs; 1 tablespoon vanilla extract; 4 cups all-purpose flour; 1 teaspoon baking soda; 1 teaspoon baking powder; 1/2 teaspoon salt | Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.; In a large bowl, cream together the butter and brown sugar. Beat in the eggs and vanilla extract until well blended. Combine the flour, baking soda, baking powder and salt; stir into the creamed mixture. On a lightly floured surface, roll the dough out to 1/4 inch in thickness. Cut into desired shapes with cookie cutters. Place cookies 1 1/2 inches apart onto cookie sheets.; Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely. Decorate with your favorite frostings or sprinkles if you like. | Home; Recipes; World Cuisine; European; German
Pumpkin Spice Cake II | 100 | 76 | 4.71578931808472 | 1 h | 1 (18.25 ounce) package yellow cake mix; 1/2 cup white sugar; 1 teaspoon baking soda; 2 teaspoons ground cinnamon; 1/2 teaspoon ground ginger; 1 (15 ounce) can pumpkin puree; 1 cup vegetable oil; 4 eggs; 1 cup chopped pecans | Preheat oven to 375 degrees F (190 degrees C). Grease and flour a 9x13 inch pan.; In a large bowl, stir together cake mix, sugar, baking soda, cinnamon and ginger. Make a well in the center and pour in pumpkin puree, oil, and eggs. Beat on low speed until blended. Scrape bowl, and beat 4 minutes on medium speed. Stir in chopped pecans. Pour batter into prepared pan.; Bake in the preheated oven for 45 to 50 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool. | Home; Recipes; Desserts; Cakes; Cake Mix Cakes; Spice Cake
Buttermilk Salad | 96 | 83 | 4.63829803466797 | 36 m | 1 (20 ounce) can crushed pineapple, with juice; 1 (6 ounce) package apricot or peach flavored Jell-O® mix; 2 cups buttermilk; 1 (8 ounce) container frozen whipped topping, thawed | Place the pineapple in a medium saucepan, and bring to a boil. Stir in the gelatin mix until completely dissolved. Remove to a bowl, and chill until partially set, about 1 hour. Stir in buttermilk, and chill again until thickened. Fold in whipped topping, and refrigerate until firm, at least 4 hours. | Home; Recipes; Desserts; Specialty Desserts; Dessert Salads; Jell-O® Salad
Best Whole Wheat Chocolate Chippers | 100 | 83 | 4.53191471099854 | 32 m | 2 cups brown sugar; 1 cup white sugar; 2 cups butter, softened; 4 eggs; 2 tablespoons vanilla extract; 1 teaspoon baking soda; 1/2 teaspoon salt; 4 3/4 cups whole wheat flour; 1 cup ground pecans; 4 cups semisweet chocolate chips | Preheat the oven to 350 degrees F (175 degrees C).; In a large bowl, cream together the brown sugar, white sugar, and butter until smooth. Beat in the eggs one at a time, mixing well after each one. Stir in the vanilla, salt, and baking soda until well blended, then mix in the ground pecans and flour. Stir in the chocolate chips last. Try not to over mix once you add the flour.; Drop spoonfuls of cookie dough onto ungreased baking sheets so they are about 2 inches apart.; Bake for 10 to 12 minutes in the preheated oven, until the cookies are just starting to brown at the edges. Let cool on the baking sheets for a few minutes before removing to cool on wire racks. | Home; Recipes; Desserts; Cookies; International Cookies; American Cookies
Margarita Cake with Key Lime Cream Cheese Frosting | 129 | 80 | 4.51063823699951 | 2 h | 1 (18.25 ounce) package white cake mix; 3 egg whites; 1 (10 fluid ounce) can frozen margarita mix (such as Bacardi®), thawed; 2 tablespoons vegetable oil; 1 tablespoon grated lime peel; 1 tablespoon lime juice; 1 (8 ounce) package cream cheese, softened; 1/2 cup unsalted butter, softened; 1 tablespoon grated lemon peel; 1 tablespoon lime juice; 5 cups confectioners' sugar | Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch cake pan.; In a large mixing bowl, beat together the cake mix, egg whites, frozen margarita mix, vegetable oil, lime zest, and 1 tablespoon lime juice. Pour the batter into the prepared pan.; Bake in the preheated oven until a toothpick inserted into the center shows moist crumbs, 30 to 35 minutes. Cake will be very moist. Cool in the pan.; To make frosting, beat the cream cheese and butter together until light and fluffy, and stir in the lemon peel and 1 tablespoon of lime juice. Beat in the confectioners' sugar, 1 cup at a time, scraping the sides of the bowl thoroughly with a spatula after each addition. Spread the frosting over the cooled cake. | Home; Recipes; World Cuisine; Latin American; Mexican
Caramel Apple Cranberry Pie | 177 | 75 | 4.75531911849976 | 1 h 15 m | 1 pastry for a 9-inch double crust pie; 2 tablespoons lemon juice; 4 Granny Smith apples; 1/2 cup butter; 1 tablespoon all-purpose flour; 2 tablespoons cornstarch; 2 tablespoons water; 1 tablespoon vanilla extract; 1/2 cup white sugar; 1/2 cup brown sugar; 1 teaspoon ground cinnamon; 1/2 teaspoon ground nutmeg; 1 cup dried cranberries; 1 tablespoon white sugar (optional); 1/2 teaspoon ground cinnamon (optional) | Preheat an oven to 425 degrees F (220 degrees C). Press one of the pie pastries into a 9-inch pie plate; reserve the remaining pastry.; Pour the lemon juice into a container that large enough for the apples and fill halfway with cold water. Peel and slice the apples into the lemon water; set aside.; Melt the butter in a large saucepan over medium heat. Stir in the flour and cornstarch to form a paste. Stir in 2 tablespoons of water along with the vanilla extract, 1/2 cup white sugar, brown sugar, 1 teaspoon cinnamon, and nutmeg; bring to a simmer. Drain the apples and add them to the sugar mixture along with the cranberries. Cook and stir 5 minutes; remove from the heat and allow to cool slightly.; Pour the fruit into the pie plate and press on the top crust. Stir together 1 tablespoon of white sugar and 1/2 teaspoon of cinnamon; sprinkle over the pie.; Bake in the preheated oven for 15 minutes; reduce the oven temperature to 350 degrees F (175 degrees C) and continue baking until the top crust is golden brown, 35 to 40 minutes. | Home; Recipes; Desserts; Pies; Fruit Pies
Family Favorite Apple Crisp | 312 | 76 | 4.73404264450073 | 55 m | 3 pounds apples - peeled, cored, and sliced; 1 tablespoon butter, cut into small pieces; 2 tablespoons lemon juice; 1 cup all-purpose flour; 1 cup rolled oats; 1 1/2 cups brown sugar; 1 1/2 teaspoons ground cinnamon; 1 teaspoon salt; 1/2 cup butter | Preheat oven to 375 degrees F (190 degrees C). Butter a 9x13-inch baking dish.; Spread apple slices into prepared baking pan. Dot with 1 tablespoon butter pieces and sprinkle with lemon juice. Mix flour, rolled oats, brown sugar, cinnamon, and salt together in a bowl. Cut butter into oat mixture until the mixture resembles coarse crumbs; spread over apples.; Bake in the preheated oven until topping is browned and apples are soft and tender, about 30 minutes. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Adam's Apple Cake | 154 | 84 | 4.27659559249878 | 2 h 25 m | cooking spray; 3 cups all-purpose flour; 2 cups white sugar; 3/4 cup vegetable oil; 3 eggs; 1 teaspoon salt; 1/2 teaspoon baking soda; 1 teaspoon vanilla extract; 1 teaspoon ground cinnamon; 4 apples - peeled, cored and chopped | Preheat an oven to 350 degrees F (175 degrees C).; Spray a 9x13-inch baking pan with cooking spray.; Combine flour, sugar, vegetable oil, eggs, salt, baking soda, vanilla extract, and cinnamon in a large bowl; mix well.; Stir in the chopped apples until just combined.; Pour batter into the prepared baking pan.; Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Easy Chocolate Cupcakes | 179 | 78 | 4.07526874542236 | 30 m | 10 tablespoons butter; 1 1/4 cups white sugar; 4 eggs; 1/4 teaspoon almond extract; 1 teaspoon vanilla extract; 1 1/2 cups all-purpose flour; 3/4 cup unsweetened cocoa powder; 2 teaspoons baking powder; 1/4 teaspoon salt; 3/4 cup milk | Preheat oven to 350 degrees F (175 degrees C). Grease two muffin pans or line with 20 paper baking cups.; In a medium bowl, beat the butter and sugar with an electric mixer until light and fluffy. Mix in the eggs, almond extract and vanilla. Combine the flour, cocoa, baking powder and salt; stir into the batter, alternating with the milk, just until blended. Spoon the batter into the prepared cups, dividing evenly.; Bake in the preheated oven until the tops spring back when lightly pressed, 20 to 25 minutes. Cool in the pan set over a wire rack. When cool, arrange the cupcakes on a serving platter. Frost with your favorite frosting. | Home; Recipes; Desserts; Chocolate
Gourmet Caramel Apples | 115 | 77 | 4.66666650772095 | 50 m | 5 large Granny Smith apples; 1 (14 ounce) package individually wrapped caramels, unwrapped; 2 tablespoons water; 7 ounces chocolate candy bar, broken into pieces; 2 tablespoons shortening, divided; 1 cup colored candy coating melts | Bring a large pot of water to a boil. Dip apples into boiling water briefly, using a slotted spoon, to remove any wax that may be present. Wipe dry, and set aside to cool. Insert sticks into the apples through the cores.; Line a baking sheet with waxed paper and coat with cooking spray. Place the unwrapped caramels into a microwave-safe medium bowl along with 2 tablespoons of water. Cook on high for 2 minutes, then stir and continue cooking and stirring at 1 minute intervals until caramel is melted and smooth.; Hold apples by the stick, and dip into the caramel to coat. Set on waxed paper; refrigerate for about 15 minutes to set.; Heat the chocolate with 1 tablespoon of shortening in a microwave-safe bowl until melted and smooth. Dip apples into the chocolate to cover the layer of caramel. Return to the waxed paper to set.; Melt the candy melts in the microwave with the remaining shortening, stirring every 30 seconds until smooth. Use a fork or wooden stick to flick colored designs onto your apples for a finishing touch. Refrigerate until set, overnight is even better. | Home; Recipes; Desserts; Specialty Desserts; Caramel Apples
Spiced Pears and Pomegranate | 95 | 70 | 4.38709688186646 | 10 m | 3 pears - peeled, cored and cut into wedges; 1 pomegranate, skin and light-colored membrane removed; 1 tablespoon fresh lemon juice; 2 tablespoons light brown sugar; 1/4 teaspoon ground nutmeg; 1/2 teaspoon ground cinnamon; 2 tablespoons finely chopped almonds (optional); 4 sprigs fresh mint leaves for garnish (optional) | Place the sliced pears and pomegranate seeds into a bowl. Toss with lemon juice to coat. Combine the brown sugar, nutmeg, and cinnamon in a small cup or bowl, then mix into the fruit. Cover and refrigerate for at least 1 hour before serving to blend the flavors. Serve in individual dishes, and garnish with a sprinkling of chopped almonds and a sprig of mint. | Home; Recipes; Desserts; Fruit Desserts
Banana Cream Pie V | 136 | 82 | 4.21276617050171 | 1 h | 1 (9 inch) deep dish pie crust, baked and cooled; 2/3 cup white sugar; 1/4 cup cornstarch; 1/2 teaspoon salt; 3 cups milk; 4 egg yolks, beaten; 2 tablespoons butter; 1 large banana, sliced; 4 egg whites; 1/4 teaspoon cream of tartar; 1/2 cup white sugar; 1/4 teaspoon vanilla extract | In a large saucepan or double boiler combine sugar, cornstarch and salt. Mix well, then stir in milk and egg yolks. Whisk until all ingredients are thoroughly combined. Cook over medium heat, stirring constantly, until mixture is thickened. Remove from heat and stir in butter and 1 tablespoon vanilla.; Preheat oven to 400 degrees F (200 degrees C.) Pour half of custard into baked pie shell. Cover with sliced banana. Spread remaining custard over banana layer.; In a large glass or metal mixing bowl, beat egg whites and cream of tartar until foamy. Gradually add white sugar, continuing to beat until stiff peaks form. Beat in vanilla extract. Spread meringue over pie, covering completely.; Bake in the preheated oven for 10 to 15 minutes, or until lightly browned. | Home; Recipes; Desserts; Pies; Custard and Cream Pies; Meringue Pie
Seven Layer Gelatin Salad | 106 | 79 | 4.44086027145386 | 6 h 25 m | 7 (3 ounce) packages assorted fruit flavored Jell-O® mix; 4 1/2 cups boiling water, divided; 4 1/2 cups cold water, divided; 1 (12 fluid ounce) can evaporated milk, divided; 1 (8 ounce) container frozen whipped topping, thawed | Coat a 9x13 inch dish with cooking spray.; Dissolve one package of gelatin in 3/4 cup boiling water. Stir in 3/4 cup cold water. Spoon into pan and refrigerate until almost set, 45 minutes.; Dissolve another package of gelatin in 1/2 cup boiling water. Stir in 1/2 cup cold water and 1/2 cup evaporated milk. Spoon over first layer and refrigerate until almost set, 45 minutes.; Repeat steps 2 and 3 until all gelatin is used. Just before serving, top with whipped topping. | Home; Recipes; Desserts; Specialty Desserts; Dessert Salads; Jell-O® Salad
Totally Groovy Chocolate Fondue | 84 | 69 | 4.60215044021606 | 15 m | 2 cups milk chocolate chips; 3 tablespoons heavy cream; 2 tablespoons cherry brandy; 1 tablespoon strong brewed coffee; 1/8 teaspoon ground cinnamon | Combine chocolate, cream, brandy, coffee and cinnamon in a fondue pot over a low flame (or in a saucepan over low heat). Heat until melted, stirring occasionally. Serve at once. | Home; Recipes; Desserts; Specialty Desserts; Liqueur Desserts; Kirschwasser
Pineapple Upside-Down Cake IV | 145 | 75 | 4.35483884811401 | 1 h 30 m | 3 tablespoons butter; 1 (20 ounce) can crushed pineapple with juice; 8 maraschino cherries; 1/4 cup walnut halves; 2/3 cup packed brown sugar; 1/3 cup shortening; 1/2 cup white sugar; 1 egg; 1 teaspoon vanilla extract; 1 1/4 cups sifted cake flour; 1 1/2 teaspoons baking powder; 1/2 teaspoon salt; 1/2 cup reserved pineapple juice | Preheat oven to 350 degrees F (175 degrees C). Drain pineapple and reserve 1/2 cup of the juice.; Melt butter in a 9 inch round pan. Arrange cherries and walnut halves in the pan according to how many servings you want. Sprinkle with brown sugar, and then pineapple.; Cream together shortening and granulated sugar until light and fluffy. Add egg and vanilla, and beat well. Sift together flour, baking powder and salt. Add alternately with reserved pineapple syrup, beating after each addition.; Spread batter in pan over pineapple. Bake at 350 degrees F (175 degrees C) for 45 to 50 minutes. Let stand 5 minutes in the pan, then invert onto plate. Serve warm. | Home; Recipes; Desserts; Fruit Desserts; Pineapple Desserts
Cherry Cream Cheese Pie | 159 | 75 | 4.52173900604248 | 4 h 45 m | 1 (9 inch) prepared graham cracker crust; 1 (21 ounce) can light cherry pie filling; 1 (8 ounce) package cream cheese, softened; 1 (14 ounce) can sweetened condensed milk; 1/3 cup lemon juice; 1 teaspoon vanilla extract | Beat cream cheese until light and fluffy. Gradually add sweetened condensed milk, and continue beating until smooth and combined. Add lemon juice and vanilla; mix well.; Fill graham cracker crust evenly. Refrigerate until set; this will take between 2 to 4 hours. Just before serving, spread the cherry pie filling over the top of the pie. | Home; Recipes; Desserts; Pies; No-Bake Pies
Vanilla Brownies | 141 | 76 | 4.20652151107788 | 1 h | 2 1/4 cups all-purpose flour; 2 1/2 teaspoons baking powder; 1/2 teaspoon salt; 3/4 cup unsalted butter, softened; 1 1/4 cups white sugar; 1 1/4 cups packed brown sugar; 1 teaspoon vanilla extract; 3 eggs; 2 cups semisweet chocolate chips (optional) | Preheat oven to 350 degrees F (175 degrees C). Grease a 10x15 inch jellyroll pan.; In a small bowl, combine flour, baking powder, and salt. Set aside. In a large bowl, cream together the butter, white sugar, brown sugar, and vanilla until smooth. Beat in the eggs, one at a time, then stir in the flour mixture. Mix in chocolate chips, if desired. Spread the batter evenly into the prepared pan.; Bake for 35 to 45 minutes in preheated oven. Cool in the pan on a wire rack. When completely cooled, cut into squares. | Home; Recipes; Desserts; Cookies; Brownies; Blondies
Chocolate Caramel Nut Salad | 80 | 71 | 4.5 | 40 m | 1 (5 ounce) package instant vanilla pudding mix; 1 cup milk; 1 (12 ounce) container frozen whipped topping, thawed; 6 apple - peeled, cored, and chopped; 6 (2.16 ounce) bars chocolate-coated caramel-peanut nougat candy, chilled and sliced; 1/4 cup seedless grapes (optional) | Prepare the pudding using 1 cup of milk; blend together with whipped topping.; Add the apples, candy bars and grapes. Mix together and refrigerate until chilled. | Home; Recipes; Desserts; Specialty Desserts; Dessert Salads
Ravishing Red Velvet Cake | 116 | 80 | 4.1304349899292 | 1 h 55 m | 1/2 cup shortening; 1 1/2 cups white sugar; 2 eggs, room temperature; 1 teaspoon butter flavored extract; 4 tablespoons red food coloring; 2 tablespoons unsweetened cocoa powder; 1 cup buttermilk, room temperature; 1 teaspoon salt; 2 1/2 cups sifted all-purpose flour; 1 tablespoon white vinegar; 1 teaspoon baking soda; 1/2 cup butter, room temperature; 1 (8 ounce) package cream cheese, room temperature; 4 cups confectioners' sugar, sifted; 1 teaspoon vanilla extract | Preheat oven to 350 degrees F (175 degrees C). Grease and flour two 9-inch round pans.; Beat shortening and sugar until light and fluffy. Add eggs one at a time, mixing until fully incorporated. Stir in butter flavoring. Make a paste with food coloring and cocoa and add to the shortening mixture.; Mix buttermilk, salt, baking soda and vinegar; add to batter alternating with the flour mixture.; Divide batter into prepared pans. Bake in preheated oven until cake springs back when touched lightly with a finger or tester comes out clean, 20 to 30 minutes. Cook completely on wire rack.; To Make Cream Cheese Frosting: beat butter and cream cheese with an electric mixer until smooth. Gradually beat in confectioners' sugar and 1 teaspoon vanilla. Mix until well blended. | Home; Recipes; Desserts; Chocolate
Amaretto Divine | 93 | 81 | 4.69148921966553 | 45 m | 1 (18.25 ounce) package yellow cake mix; 1 cup non dairy amaretto flavored creamer; 1 cup amaretto liqueur; 3 eggs; 1/3 cup vegetable oil; 1 (3.5 ounce) package instant vanilla pudding mix; 1 cup non dairy amaretto flavored creamer; 1/4 cup amaretto liqueur; 2 cups heavy cream, whipped; 4 (1.4 ounce) bars chocolate covered toffee bars, chopped; 1 (1.5 ounce) bar chocolate candy bar, melted; 1/2 cup sliced almonds | Preheat oven to 325 degrees F (165 degrees C). Grease and flour three 8- inch pans.; Mix together the cake mix, 1 cup amaretto flavored creamer, 1 cup amaretto liqueur, eggs and oil until blended. Distribute cake batter evenly between the cake pans. Bake in the preheated oven for 15 minutes, making certain the cake layers do not overbake. Allow to cool completely before filling.; To make the amaretto whipped cream filling: Combine pudding mix, 1/4 cup amaretto liqueur and 1 cup amaretto flavored creamer. Set aside for 5 minutes until thickened. Fold the whipped cream into the amaretto mixture, then stir in the crushed chocolate covered toffee bars. Use to fill and frost top of the cake (do not frost sides). Drizzle cake with melted chocolate candy bar and sprinkle with sliced almonds. Refrigerate until ready to serve. | Home; Recipes; Desserts; Specialty Desserts; Liqueur Desserts; Amaretto
Easy Vegan Peanut Butter Fudge | 87 | 74 | 4.55434799194336 | 40 m | 3/4 cup vegan margarine; 1 cup peanut butter; 3 2/3 cups confectioners' sugar | Lightly grease a 9x9 inch baking dish.; In a saucepan over low heat, melt margarine. Remove from heat and stir in peanut butter until smooth. Stir in confectioners' sugar, a little at a time, until well blended. Pat into prepared pan and chill until firm. Cut into squares. | Home; Recipes; Desserts; Candy; Fudge; Peanut Butter
Easy Chocolate Tofu Pie | 108 | 84 | 4.23913049697876 | 40 m | 1 pound silken tofu; 1/2 cup unsweetened cocoa powder; 1 cup white sugar; 1 tablespoon vanilla extract; 1/2 teaspoon cider vinegar; 1 (9 inch) prepared graham cracker crust | Preheat oven to 375 degrees F (190 degrees C).; Blend tofu with an electric mixer or in a food processor until smooth. Blend in cocoa, sugar, vanilla and vinegar. Pour into prepared crust.; Bake in preheated oven for 25 minutes.; Refrigerate for 1 hour before serving. | Home; Recipes; Desserts; Pies; Chocolate Pie
American Girl's Peach Cobbler | 89 | 79 | 4.34782600402832 | 45 m | 1/2 cup reduced-calorie margarine, melted; 1 1/2 cups all-purpose flour; 2 teaspoons baking powder; 1 1/2 cups white sugar; 1/2 cup skim milk; 4 (15 ounce) cans sliced peaches packed in juice, drained and juice reserved | Preheat the oven to 375 degrees F (190 degrees C).; Pour the melted margarine into the bottom of a 9x13 inch baking dish; set aside. In a medium bowl, combine the flour, baking powder and white sugar. Stir in 1 cup of the reserved liquid from the peaches and the milk until smooth. Pour the batter evenly into the bottom of the dish over the margarine. Do not stir. Spoon peaches over the batter.; Bake for 35 to 40 minutes in the preheated oven, or until the top is golden. | Home; Recipes; Desserts; Fruit Desserts; Peach Desserts
Zucchini Raspberry Cupcakes | 103 | 72 | 4.59782600402832 | 45 m | 2 1/2 cups all-purpose flour; 1/4 cup unsweetened cocoa powder; 1 1/2 teaspoons baking soda; 3/4 cup butter, softened; 1 cup white sugar; 2 eggs; 1 teaspoon vanilla extract; 1/2 cup buttermilk; 2 cups shredded zucchini; 1 1/4 cups fresh raspberries; 1 cup chocolate chips | Preheat oven to 350 degrees F (175 degrees C). Grease 24 muffin cups or line with paper muffin liners.; Whisk together the flour, cocoa, and baking soda; set aside. Beat the butter and sugar with an electric mixer in a large bowl until light-colored and fluffy. Add the eggs one at a time, allowing each egg to blend into the butter mixture before adding the next. Beat in the vanilla with the last egg. Pour in the flour mixture alternately with the buttermilk, mixing until just incorporated. Fold in the zucchini, raspberries, and chocolate chips, mixing just enough to evenly combine. Spoon the batter into the prepared muffin cups, filling each 3/4 full.; Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 20 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack. | Home; Recipes; Desserts; Fruit Desserts; Raspberry Desserts
